Date,Time,RECORD,PTemp_C_Max,AirTC_Avg,RH,WS_ms_Avg,WindDir
30-11-2021,17:00:00,423678,27.94,26.78,39.92,1.589,86.7
30-11-2021,17:05:00,423679,27.82,26.67,40.09,1.574,101.9
30-11-2021,17:10:00,423680,27.72,26.55,40.8,1.637,134
30-11-2021,17:15:00,423681,27.44,26.44,41.24,1.176,55.97
30-11-2021,17:20:00,423682,27.31,26.35,41.41,1.132,90.3
30-11-2021,17:25:00,423683,27.21,26.24,41.55,1.289,47.2
30-11-2021,17:30:00,423684,27.12,26.16,42.16,1.017,35.37
30-11-2021,17:35:00,423685,27.03,26.08,41.95,0.861,39.46
30-11-2021,17:40:00,423686,26.93,26.06,42.56,0.903,37.95
30-11-2021,17:45:00,423687,26.81,25.94,43.14,1.081,40.78
30-11-2021,17:50:00,423688,26.72,25.79,43.51,1.073,69.45
30-11-2021,17:55:00,423689,26.62,25.64,44.19,0.988,83.1
30-11-2021,18:00:00,423690,26.5,25.51,43.65,0.952,7.786
30-11-2021,18:05:00,423691,26.37,25.53,43.04,1.591,14.71
30-11-2021,18:10:00,423692,26.25,25.54,42.9,1.622,40.44
30-11-2021,18:15:00,423693,26.16,25.48,43.17,1.216,75.1
30-11-2021,18:20:00,423694,26.07,25.38,42.7,1.381,59.69
30-11-2021,18:25:00,423695,25.98,25.38,42.7,1.389,45.03
30-11-2021,18:30:00,423696,25.89,25.31,42.63,1.269,15.6
30-11-2021,18:35:00,423697,25.79,25.23,42.63,1.27,58.97
30-11-2021,18:40:00,423698,25.7,25.17,42.77,1.436,67.98
30-11-2021,18:45:00,423699,25.61,25.16,42.97,1.255,54.12
30-11-2021,18:50:00,423700,25.55,25.09,43.17,1.272,37.78
30-11-2021,18:55:00,423701,25.49,25,43.24,1.211,20.43
30-11-2021,19:00:00,423702,25.4,24.94,43.44,1.475,55.13
30-11-2021,19:05:00,423703,25.34,24.85,44.66,1.526,74.42
